,Kindom,Phylum,Class,Order,Family,Genus,Species
FDZ033.YG2.4.dereplicated_genomes.bin.64,Bacteria,Myxococcota_A,UBA9160,SZUA-336,SZUA-336,,
FDZ033.YG2.4.dereplicated_genomes.bin.65,Bacteria,Myxococcota_A,UBA9160,UBA9160,SMWR01,,
FDZ033.YG2.4.dereplicated_genomes.bin.68,Bacteria,Actinobacteriota,Acidimicrobiia,UBA5794,UBA5794,,
FDZ033.YG2.4.dereplicated_genomes.bin.84,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,,,
FDZ033.YG2.4.dereplicated_genomes.bin.91,Bacteria,Proteobacteria,Alphaproteobacteria,UBA8366,GCA-2717185,,
FDZ033.YG2.4.dereplicated_genomes.bin.96,Bacteria,,,,,,
FDZ033.YG2.4.dereplicated_genomes.bin.97,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,,,
FDZ033.YG4.6.dereplicated_genomes.bin.1,Bacteria,Proteobacteria,Gammaproteobacteria,UBA4486,UBA4486,SMWN01,
FDZ036.RY0.2.dereplicated_genomes.bin.25,Bacteria,Krumholzibacteriota,Krumholzibacteria,,,,
FDZ036.RY0.2.dereplicated_genomes.bin.3,Bacteria,Latescibacterota,UBA2968,UBA2968,UBA2968,,
FDZ036.RY0.2.dereplicated_genomes.bin.55,Bacteria,Zixibacteria,MSB-5A5,GN15,,,
FDZ036.RY0.2.dereplicated_genomes.bin.58,Bacteria,Actinobacteriota,Acidimicrobiia,UBA5794,UBA5794,,
FDZ036.RY0.2.dereplicated_genomes.bin.9,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,,,
FDZ0381.2.dereplicated_genomes.bin.105,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,,
FDZ0381.2.dereplicated_genomes.bin.116,Bacteria,Acidobacteriota,Thermoanaerobaculia,UBA5704,UBA5704,,
FDZ0381.2.dereplicated_genomes.bin.117,Bacteria,Planctomycetota,UBA1135,UBA2386,UBA2386,,
FDZ0381.2.dereplicated_genomes.bin.134,Bacteria,Planctomycetota,UBA1135,UBA2386,GCA-002748355,,
FDZ0381.2.dereplicated_genomes.bin.143,Bacteria,Proteobacteria,Alphaproteobacteria,UBA7887,UBA7887,,
FDZ0381.2.dereplicated_genomes.bin.77,Bacteria,Proteobacteria,Gammaproteobacteria,UBA4575,UBA4575,,
FDZ0383.4.dereplicated_genomes.bin.41,Bacteria,Bacteroidota,Bacteroidia,,,,
FDZ0385.6.dereplicated_genomes.bin.12,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,,,
FDZ0385.6.dereplicated_genomes.bin.36,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,UBA10348,,
FDZ0385.6.dereplicated_genomes.bin.91,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,SMXJ01,
FDZ039.Y0.2.dereplicated_genomes.bin.139,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,,
FDZ039.Y0.2.dereplicated_genomes.bin.36,Bacteria,Proteobacteria,Gammaproteobacteria,Woeseiales,Woeseiaceae,SZUA-117,
FDZ039.Y0.2.dereplicated_genomes.bin.47,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,,
FDZ039.Y2.4.dereplicated_genomes.bin.25,Bacteria,Proteobacteria,Alphaproteobacteria,UBA6615,UBA6615,,
FDZ039.Y2.4.dereplicated_genomes.bin.54,Bacteria,Zixibacteria,MSB-5A5,GN15,,,
FDZ039.Y2.4.dereplicated_genomes.bin.66,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
FDZ039.Y4.6.dereplicated_genomes.bin.87,Bacteria,Myxococcota_A,UBA9160,SZUA-336,SZUA-336,,
FDZ039.Y6.8.dereplicated_genomes.bin.22,Bacteria,Proteobacteria,Gammaproteobacteria,Woeseiales,Woeseiaceae,,
FDZ039.Y8.10.dereplicated_genomes.bin.11,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Pseudoalteromonas,
FDZ039.Y8.10.dereplicated_genomes.bin.49,Bacteria,Sumerlaeota,Sumerlaeia,,,,
FDZ039.Y8.10.dereplicated_genomes.bin.58,Bacteria,Omnitrophota,Koll11,UBA9649,UBA9649,,
FDZ039.Y8.10.dereplicated_genomes.bin.72,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
FDZ039.Y8.10.dereplicated_genomes.bin.78,Bacteria,KSB1,UBA2214,,,,
FDZ039.Y8.10.dereplicated_genomes.bin.92,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,,
FDZ039.YBe0.2.dereplicated_genomes.bin.3,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,Rubricoccaceae,,
FDZ039.YBe0.2.dereplicated_genomes.bin.93,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,,
FDZ039.YBe2.4.dereplicated_genomes.bin.51,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alishewanella,
FDZ039.YBe4.6.dereplicated_genomes.bin.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Pseudidiomarina,
FDZ039.YBe4.6.dereplicated_genomes.bin.40,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Idiomarina,
FDZ039.YBe4.6.dereplicated_genomes.bin.66,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Pseudidiomarina,
FDZ039.YBe4.6.dereplicated_genomes.bin.80,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,
FDZ043.RG0.2.dereplicated_genomes.bin.13,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,,
FDZ043.RG0.2.dereplicated_genomes.bin.16,Bacteria,Zixibacteria,MSB-5A5,GN15,,,
FDZ043.RG0.2.dereplicated_genomes.bin.55,Bacteria,Proteobacteria,Alphaproteobacteria,SMXQ01,SMXQ01,SMXQ01,
FDZ043.RG12.14.dereplicated_genomes.bin.3,Bacteria,Proteobacteria,Gammaproteobacteria,Woeseiales,Woeseiaceae,,
FDZ043.RG16.18.dereplicated_genomes.bin.11,Bacteria,Myxococcota_A,UBA9160,UBA9160,UBA4427,,
FDZ043.RG16.18.dereplicated_genomes.bin.25,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,GCA-2721545,
FDZ043.RG16.18.dereplicated_genomes.bin.40,Bacteria,Proteobacteria,Alphaproteobacteria,SMXQ01,SMXQ01,SMXQ01,
FDZ043.RG16.18.dereplicated_genomes.bin.42,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,Halioglobus,
FDZ043.RG16.18.dereplicated_genomes.bin.53,Bacteria,Sumerlaeota,Sumerlaeia,,,,
FDZ043.RG16.18.dereplicated_genomes.bin.68,Bacteria,Acidobacteriota,Mor1,Mor1,Mor1,,
FDZ043.RG16.18.dereplicated_genomes.bin.73,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
FDZ043.RG16.18.dereplicated_genomes.bin.89,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,UBA9145,
FDZ043.RG4.6.dereplicated_genomes.bin.15,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Casp-alpha2,Casp-alpha2,
FDZ043.RG6.8.dereplicated_genomes.bin.47,Bacteria,Acidobacteriota,Vicinamibacteria,Bin61,,,
FDZ043.RG6.8.dereplicated_genomes.bin.56,Bacteria,Desulfobacterota_D,UBA1144,UBA2774,,,
FDZ043.RG6.8.dereplicated_genomes.bin.70,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,,
FDZ043.RG8.10.dereplicated_genomes.bin.36,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,GCA-2746185,,
FDZ043.RG8.10.dereplicated_genomes.bin.50,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,,,
FDZ043.RG8.10.dereplicated_genomes.bin.6,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,,,
FDZ043.RG8.10.dereplicated_genomes.bin.64,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
FDZ043.RG8.10.dereplicated_genomes.bin.67,Bacteria,Eisenbacteria,RBG-16-71-46,RBG-16-71-46,,,
FDZ043.RG8.10.dereplicated_genomes.bin.68,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,GCA-2721545,
FDZ043.RG8.10.dereplicated_genomes.bin.7,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,
FDZ043.RG8.10.dereplicated_genomes.bin.71,Bacteria,Marinisomatota,,,,,
FDZ044.RBk10.12.dereplicated_genomes.bin.11,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,,
FDZ044.RBk10.12.dereplicated_genomes.bin.21,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,UBA9145,
FDZ044.RBk10.12.dereplicated_genomes.bin.26,Bacteria,Acidobacteriota,UBA890,UBA890,,,
FDZ044.RBk10.12.dereplicated_genomes.bin.28,Bacteria,Sumerlaeota,Sumerlaeia,,,,
FDZ044.RBk10.12.dereplicated_genomes.bin.34,Bacteria,Proteobacteria,Alphaproteobacteria,UBA828,UBA828,PTKB01,
FDZ044.RBk10.12.dereplicated_genomes.bin.42,Bacteria,Proteobacteria,Alphaproteobacteria,MPNO01,UBA2964,,
FDZ044.RBk10.12.dereplicated_genomes.bin.62,Bacteria,Acidobacteriota,Vicinamibacteria,Fen-336,Fen-336,,
FDZ044.RBk10.12.dereplicated_genomes.bin.63,Bacteria,Omnitrophota,Koll11,UBA10015,Kpj58rc,2-02-FULL-52-10,
FDZ044.RBk10.12.dereplicated_genomes.bin.64,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA2999,Gp6-AA40,
FDZ044.RBk10.12.dereplicated_genomes.bin.90,Bacteria,Acidobacteriota,Acidobacteriae,2-12-FULL-54-10,2-12-FULL-54-10,,
FDZ044.RBk10.12.dereplicated_genomes.bin.93,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,,
FDZ044.RBk2.4.dereplicated_genomes.bin.36,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
FDZ044.RBk2.4.dereplicated_genomes.bin.4,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,,
FDZ044.RBk2.4.dereplicated_genomes.bin.58,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
FDZ044.RBk2.4.dereplicated_genomes.bin.63,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,,
FDZ044.RBk4.6.dereplicated_genomes.bin.18,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,,,
FDZ044.RBk4.6.dereplicated_genomes.bin.21,Bacteria,Omnitrophota,Koll11,UBA9649,UBA9649,,
FDZ044.RBk4.6.dereplicated_genomes.bin.25,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
FDZ044.RBk4.6.dereplicated_genomes.bin.68,Bacteria,Acidobacteriota,Acidobacteriae,Acidoferrales,2-02-FULL-67-57,,
FDZ044.RBk6.8.dereplicated_genomes.bin.16,Bacteria,OLB16,OLB16,,,,
FDZ044.RBk6.8.dereplicated_genomes.bin.40,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,,,
FDZ044.RBk6.8.dereplicated_genomes.bin.50,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,,
FDZ044.RBk6.8.dereplicated_genomes.bin.51,Bacteria,Desulfobacterota_B,Binatia,,,,
FDZ044.RBk6.8.dereplicated_genomes.bin.79,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
FDZ044.RBk6.8.dereplicated_genomes.bin.91,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,,,
FDZ044.W0.4.dereplicated_genomes.bin.60,Bacteria,Planctomycetota,PLA2,PLA2,,,
FDZ046.Be12.14.dereplicated_genomes.bin.27,Bacteria,Poribacteria,WGA-4E,WGA-4E,,,
FDZ046.Be18.20.dereplicated_genomes.bin.32,Bacteria,KSB1,UBA2214,CR04bin15,CR04bin15,,
FDZ046.Be18.20.dereplicated_genomes.bin.33,Bacteria,Poribacteria,WGA-4E,WGA-4E,,,
FDZ046.Be18.20.dereplicated_genomes.bin.37,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,SZUA-226,
FDZ046.Be2.4.dereplicated_genomes.bin.11,Bacteria,Omnitrophota,Koll11,1-14-0-20-64-10,1-14-0-20-64-10,,
FDZ046.Be2.4.dereplicated_genomes.bin.34,Bacteria,Omnitrophota,Koll11,UBA10015,Kpj58rc,,
FDZ046.Be2.4.dereplicated_genomes.bin.74,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,SPGG2,,
FDZ046.Be2.4.dereplicated_genomes.bin.84,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,,,
FDZ046.Be2.4.dereplicated_genomes.bin.95,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA2999,Gp6-AA40,
FDZ046.Be20.23.dereplicated_genomes.bin.17,Bacteria,KSB1,UBA2214,CR04bin15,CR04bin15,,
FDZ046.Be6.8.dereplicated_genomes.bin.105,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,,,
FDZ046.Be6.8.dereplicated_genomes.bin.106,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,PRS1,
FDZ046.Be6.8.dereplicated_genomes.bin.122,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,,,
FDZ046.Be6.8.dereplicated_genomes.bin.24,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,,
FDZ046.Be6.8.dereplicated_genomes.bin.33,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,SLHB01,,
FDZ046.Be6.8.dereplicated_genomes.bin.38,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,,,
FDZ046.Be6.8.dereplicated_genomes.bin.45,Bacteria,Myxococcota_A,UBA9160,SZUA-336,SZUA-336,,
FDZ046.Be6.8.dereplicated_genomes.bin.67,Bacteria,Acidobacteriota,Vicinamibacteria,Bin61,,,
FDZ046.Be6.8.dereplicated_genomes.bin.88,Bacteria,Chlamydiota,Chlamydiia,,,,
FDZ046.Be6.8.dereplicated_genomes.bin.96,Bacteria,Proteobacteria,Gammaproteobacteria,Woeseiales,Woeseiaceae,JAACFB01,
FDZ046.G0.2.dereplicated_genomes.bin.76,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
FDZ046.G4.6.dereplicated_genomes.bin.34,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
FDZ046.G4.6.dereplicated_genomes.bin.60,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
FDZ046.G4.6.dereplicated_genomes.bin.66,Bacteria,Desulfobacterota_B,Binatia,,,,
FDZ046.RG0.2.dereplicated_genomes.bin.45,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,
FDZ046.RG4.6.dereplicated_genomes.bin.28,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,PRS1,
FDZ046.RG8.10.dereplicated_genomes.bin.13,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA11579,,
FDZ046.Y2.4.dereplicated_genomes.bin.41,Bacteria,Zixibacteria,MSB-5A5,GN15,12-Feb,,
FDZ046.Y2.4.dereplicated_genomes.bin.88,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,,,
FDZ046.Y4.6.dereplicated_genomes.bin.30,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,SPGG2,,
FDZ046.Y4.6.dereplicated_genomes.bin.47,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_A,
FDZ046.Y4.6.dereplicated_genomes.bin.74,Bacteria,Acidobacteriota,UBA6911,RPQK01,,,
FDZ046.Y8.10.dereplicated_genomes.bin.12,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Emcibacteraceae,Paremcibacter,
FDZ046.YBk2.4.dereplicated_genomes.bin.26,Bacteria,Omnitrophota,Koll11,UBA10015,Kpj58rc,,
FDZ046.YBk4.6.dereplicated_genomes.bin.5,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,,,
FDZ046.YBk6.8.dereplicated_genomes.bin.2,Bacteria,Poribacteria,WGA-4E,WGA-4E,,,
FDZ046.YBk6.8.dereplicated_genomes.bin.32,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,PALSA-1355,,
FDZ050.Be0.2.dereplicated_genomes.bin.21,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Casp-alpha2,Casp-alpha2,
FDZ050.Be0.2.dereplicated_genomes.bin.83,Bacteria,Actinobacteriota,Acidimicrobiia,UBA5794,UBA5794,B3-G11,
FDZ050.Be6.8.dereplicated_genomes.bin.15,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Alcanivoracaceae,Alcanivorax,
FDZ050.Bk0.2.dereplicated_genomes.bin.45,Bacteria,Zixibacteria,MSB-5A5,GN15,,,
FDZ050.Bk2.4.dereplicated_genomes.bin.19,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
FDZ050.RBk0.2.dereplicated_genomes.bin.107,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
FDZ050.RBk0.2.dereplicated_genomes.bin.36,Bacteria,Nitrospirota,,,,,
FDZ050.RBk0.2.dereplicated_genomes.bin.57,Bacteria,Proteobacteria,Alphaproteobacteria,UBA6615,UBA6615,,
FDZ050.RBk0.2.dereplicated_genomes.bin.6,Bacteria,Actinobacteriota,Acidimicrobiia,UBA5794,UBA5794,,
FDZ050.RBk10.12.dereplicated_genomes.bin.1,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,GCA-2746185,,
FDZ050.RBk10.12.dereplicated_genomes.bin.111,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Casp-alpha2,Casp-alpha2,
FDZ050.RBk10.12.dereplicated_genomes.bin.31,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA1565,,
FDZ050.RBk10.12.dereplicated_genomes.bin.37,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,,
FDZ050.RBk10.12.dereplicated_genomes.bin.53,Bacteria,Proteobacteria,Alphaproteobacteria,UBA8366,GCA-2717185,,
FDZ050.RBk10.12.dereplicated_genomes.bin.54,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,,
FDZ050.RBk10.12.dereplicated_genomes.bin.67,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
FDZ050.RBk10.12.dereplicated_genomes.bin.70,Bacteria,Sumerlaeota,Sumerlaeia,,,,
FDZ050.RBk10.12.dereplicated_genomes.bin.73,Bacteria,,,,,,
FDZ050.RBk10.12.dereplicated_genomes.bin.83,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,GCA-2746185,,
FDZ050.RBk10.12.dereplicated_genomes.bin.93,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,,,
FDZ050.RBk12.14.dereplicated_genomes.bin.141,Bacteria,Planctomycetota,SZUA-567,,,,
FDZ050.RBk12.14.dereplicated_genomes.bin.38,Bacteria,Elusimicrobiota,Elusimicrobia,,,,
FDZ050.RBk12.14.dereplicated_genomes.bin.61,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,,,
FDZ050.RBk12.14.dereplicated_genomes.bin.62,Bacteria,Spirochaetota,Leptospirae,,,,
FDZ050.RBk12.14.dereplicated_genomes.bin.66,Bacteria,SAR324,SAR324,SAR324,,,
FDZ050.RBk12.14.dereplicated_genomes.bin.67,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,
FDZ050.RBk12.14.dereplicated_genomes.bin.9,Bacteria,Marinisomatota,,,,,
FDZ050.RBk14.16.dereplicated_genomes.bin.113,Bacteria,4484-113,4484-113,4484-113,,,
FDZ050.RBk14.16.dereplicated_genomes.bin.127,Bacteria,Acidobacteriota,UBA890,UBA890,,,
FDZ050.RBk14.16.dereplicated_genomes.bin.142,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,UBA9145,
FDZ050.RBk14.16.dereplicated_genomes.bin.143,Bacteria,Patescibacteria,Paceibacteria,UBA9983,,,
FDZ050.RBk14.16.dereplicated_genomes.bin.37,Bacteria,Myxococcota,Bradymonadia,UBA7976,UBA1532,,
FDZ050.RBk16.18.dereplicated_genomes.bin.117,Bacteria,Planctomycetota,,,,,
FDZ050.RBk16.18.dereplicated_genomes.bin.134,Bacteria,AABM5-125-24,AABM5-125-24,AABM5-125-24,AABM5-125-24,,
FDZ050.RBk16.18.dereplicated_genomes.bin.18,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA9628,,
FDZ050.RBk16.18.dereplicated_genomes.bin.2,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,GCA-2746185,,
FDZ050.RBk16.18.dereplicated_genomes.bin.32,Bacteria,SM23-31,SM23-31,,,,
FDZ050.RBk16.18.dereplicated_genomes.bin.45,Bacteria,Latescibacterota,,,,,
FDZ050.RBk2.4.dereplicated_genomes.bin.32,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
FDZ050.RBk2.4.dereplicated_genomes.bin.68,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,Rubricoccaceae,,
FDZ050.RBk20.22.dereplicated_genomes.bin.27,Bacteria,CG03,CG03,,,,
FDZ050.RBk20.22.dereplicated_genomes.bin.52,Bacteria,Proteobacteria,Gammaproteobacteria,GCA-001735895,GCA-001735895,GCA-001735895,
FDZ050.RBk22.24.dereplicated_genomes.bin.8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,2-02-FULL-58-16,,
FDZ050.RBk24.26.dereplicated_genomes.bin.56,Bacteria,Omnitrophota,Koll11,4484-171,4484-171,,
