Name,classification,Phylum,Class,Order,family,genus,species
FDZ033YG02dereplicatedgenomesbin77,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,,,
FDZ033YG02dereplicatedgenomesbin86,Bacteria,Proteobacteria,Gammaproteobacteria,GCA-001735895,GCA-001735895,GCA-001735895,
FDZ033YG24dereplicatedgenomesbin102,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,,
FDZ033YG24dereplicatedgenomesbin118,Bacteria,Acidobacteriota,Mor1,Gp22-AA2,Gp22-AA2,,
FDZ033YG24dereplicatedgenomesbin13,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,,
FDZ033YG24dereplicatedgenomesbin132,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,GCA-002726655,
FDZ033YG24dereplicatedgenomesbin138,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,GCA-2746185,,
FDZ033YG24dereplicatedgenomesbin14,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,,
FDZ033YG24dereplicatedgenomesbin153,Bacteria,Myxococcota_A,UBA9160,UBA9160,UBA6930,GCA-2687015,
FDZ033YG24dereplicatedgenomesbin154,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,PALSA-1355,,
FDZ033YG24dereplicatedgenomesbin163,Bacteria,Proteobacteria,Gammaproteobacteria,GCA-2729495,GCA-2729495,,
FDZ033YG24dereplicatedgenomesbin18,Bacteria,Omnitrophota,JACPQZ01,JACPQZ01,JACPQZ01,,
FDZ033YG24dereplicatedgenomesbin3,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,Bin18,
FDZ033YG24dereplicatedgenomesbin47,Bacteria,Planctomycetota,UBA1135,UBA2386,GCA-002748355,,
FDZ033YG24dereplicatedgenomesbin58,Bacteria,Krumholzibacteriota,Krumholzibacteria,WVZY01,,,
FDZ033YG24dereplicatedgenomesbin64,Bacteria,Myxococcota_A,UBA9160,SZUA-336,SZUA-336,SMWZ01,
FDZ033YG24dereplicatedgenomesbin65,Bacteria,Myxococcota_A,UBA9160,UBA9160,SMWR01,,
FDZ033YG24dereplicatedgenomesbin68,Bacteria,Actinobacteriota,Acidimicrobiia,UBA5794,UBA5794,BMS3BBIN02,
FDZ033YG24dereplicatedgenomesbin84,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NORP154,,
FDZ033YG24dereplicatedgenomesbin91,Bacteria,Proteobacteria,Alphaproteobacteria,UBA8366,GCA-2717185,MarineAlpha4-Bin1,
FDZ033YG24dereplicatedgenomesbin96,Bacteria,SM23-31,,,,,
FDZ033YG24dereplicatedgenomesbin97,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,SMXR01,SMXR01,
FDZ033YG46dereplicatedgenomesbin1,Bacteria,Proteobacteria,Gammaproteobacteria,UBA4486,UBA4486,SMWN01,SMWN01 sp004356415
FDZ036RY02dereplicatedgenomesbin25,Bacteria,Krumholzibacteriota,Krumholzibacteria,WVZY01,,,
FDZ036RY02dereplicatedgenomesbin3,Bacteria,Latescibacterota,UBA2968,UBA2968,UBA2968,,
FDZ036RY02dereplicatedgenomesbin55,Bacteria,Zixibacteria,MSB-5A5,GN15,,,
FDZ036RY02dereplicatedgenomesbin58,Bacteria,Actinobacteriota,Acidimicrobiia,UBA5794,UBA5794,,
FDZ036RY02dereplicatedgenomesbin9,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,SMXR01,SMXR01,
FDZ03812dereplicatedgenomesbin105,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,GCA-002726655,
FDZ03812dereplicatedgenomesbin116,Bacteria,Acidobacteriota,Thermoanaerobaculia,UBA5704,UBA5704,,
FDZ03812dereplicatedgenomesbin117,Bacteria,Planctomycetota,UBA1135,UBA2386,UBA2386,SZUA-250,
FDZ03812dereplicatedgenomesbin134,Bacteria,Planctomycetota,UBA1135,UBA2386,GCA-002748355,,
FDZ03812dereplicatedgenomesbin143,Bacteria,Proteobacteria,Alphaproteobacteria,UBA7887,UBA7887,,
FDZ03812dereplicatedgenomesbin77,Bacteria,Proteobacteria,Gammaproteobacteria,UBA4575,UBA4575,JABDMD01,
FDZ03834dereplicatedgenomesbin41,Bacteria,Bacteroidota,Bacteroidia,,,,
FDZ03856dereplicatedgenomesbin12,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,,
FDZ03856dereplicatedgenomesbin36,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,UBA10348,SMXL01,
FDZ03856dereplicatedgenomesbin91,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,SMXJ01,SMXJ01 sp004356305
FDZ039Y02dereplicatedgenomesbin139,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,,
FDZ039Y02dereplicatedgenomesbin36,Bacteria,Proteobacteria,Gammaproteobacteria,Woeseiales,Woeseiaceae,SZUA-117,
FDZ039Y02dereplicatedgenomesbin47,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,,
FDZ039Y24dereplicatedgenomesbin25,Bacteria,Proteobacteria,Alphaproteobacteria,UBA6615,UBA6615,JABDJY01,
FDZ039Y24dereplicatedgenomesbin54,Bacteria,Zixibacteria,MSB-5A5,GN15,,,
FDZ039Y24dereplicatedgenomesbin66,Bacteria,Proteobacteria,Gammaproteobacteria,MnTg04,MnTg04,MnTg04,
FDZ039Y46dereplicatedgenomesbin87,Bacteria,Myxococcota_A,UBA9160,SZUA-336,SZUA-336,SMWZ01,
FDZ039Y68dereplicatedgenomesbin22,Bacteria,Proteobacteria,Gammaproteobacteria,Woeseiales,Woeseiaceae,,
FDZ039Y810dereplicatedgenomesbin11,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Pseudoalteromonas,Pseudoalteromonas lipolytica_C
FDZ039Y810dereplicatedgenomesbin49,Bacteria,Sumerlaeota,Sumerlaeia,MVZB01,MVZB01,,
FDZ039Y810dereplicatedgenomesbin58,Bacteria,Omnitrophota,Koll11,UBA9649,UBA9649,,
FDZ039Y810dereplicatedgenomesbin72,Bacteria,Proteobacteria,Alphaproteobacteria,UBA828,,,
FDZ039Y810dereplicatedgenomesbin78,Bacteria,KSB1,UBA2214,CR04bin15,,,
FDZ039Y810dereplicatedgenomesbin92,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,SMWK01,SMWK01 sp004356895
FDZ039YBe02dereplicatedgenomesbin3,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,Rubricoccaceae,,
FDZ039YBe02dereplicatedgenomesbin93,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,SZUA-230,
FDZ039YBe24dereplicatedgenomesbin51,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alishewanella,Alishewanella agri
FDZ039YBe46dereplicatedgenomesbin1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Pseudidiomarina,Pseudidiomarina aquimaris
FDZ039YBe46dereplicatedgenomesbin40,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Idiomarina,Idiomarina aquatica
FDZ039YBe46dereplicatedgenomesbin66,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Pseudidiomarina,Pseudidiomarina atlantica
FDZ039YBe46dereplicatedgenomesbin80,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,Halomonas aquamarina
FDZ043RG02dereplicatedgenomesbin13,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,,
FDZ043RG02dereplicatedgenomesbin16,Bacteria,Zixibacteria,MSB-5A5,GN15,,,
FDZ043RG02dereplicatedgenomesbin55,Bacteria,Proteobacteria,Alphaproteobacteria,SMXQ01,SMXQ01,SMXQ01,
FDZ043RG1214dereplicatedgenomesbin3,Bacteria,Proteobacteria,Gammaproteobacteria,Woeseiales,Woeseiaceae,,
FDZ043RG1618dereplicatedgenomesbin11,Bacteria,Myxococcota_A,UBA9160,UBA9160,UBA4427,,
FDZ043RG1618dereplicatedgenomesbin25,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,GCA-2721545,GCA-2721545 sp003230615
FDZ043RG1618dereplicatedgenomesbin40,Bacteria,Proteobacteria,Alphaproteobacteria,SMXQ01,SMXQ01,SMXQ01,
FDZ043RG1618dereplicatedgenomesbin42,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,Halioglobus,
FDZ043RG1618dereplicatedgenomesbin53,Bacteria,Sumerlaeota,Sumerlaeia,UBA8349,,,
FDZ043RG1618dereplicatedgenomesbin68,Bacteria,Acidobacteriota,Mor1,Mor1,Mor1,,
FDZ043RG1618dereplicatedgenomesbin73,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
FDZ043RG1618dereplicatedgenomesbin89,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,UBA9145,
FDZ043RG46dereplicatedgenomesbin15,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Casp-alpha2,Casp-alpha2,
FDZ043RG68dereplicatedgenomesbin47,Bacteria,Acidobacteriota,Vicinamibacteria,Bin61,,,
FDZ043RG68dereplicatedgenomesbin56,Bacteria,Desulfobacterota_D,UBA1144,UBA2774,N074bin48,N074bin48,
FDZ043RG68dereplicatedgenomesbin70,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,,
FDZ043RG810dereplicatedgenomesbin36,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,GCA-2746185,,
FDZ043RG810dereplicatedgenomesbin50,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,Bin80,,
FDZ043RG810dereplicatedgenomesbin6,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NORP154,,
FDZ043RG810dereplicatedgenomesbin64,Bacteria,Proteobacteria,Alphaproteobacteria,JAAXGF01,JAAXGF01,,
FDZ043RG810dereplicatedgenomesbin67,Bacteria,Eisenbacteria,RBG-16-71-46,RBG-16-71-46,,,
FDZ043RG810dereplicatedgenomesbin68,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,GCA-2721545,
FDZ043RG810dereplicatedgenomesbin7,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter venetianus
FDZ043RG810dereplicatedgenomesbin71,Bacteria,Marinisomatota,SORT01,SORT01,SORT01,,
FDZ044RBk1012dereplicatedgenomesbin11,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,GCA-002726655,
FDZ044RBk1012dereplicatedgenomesbin21,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,UBA9145,
FDZ044RBk1012dereplicatedgenomesbin26,Bacteria,Acidobacteriota,UBA890,UBA890,UBA890,,
FDZ044RBk1012dereplicatedgenomesbin28,Bacteria,Sumerlaeota,Sumerlaeia,UBA8349,,,
FDZ044RBk1012dereplicatedgenomesbin34,Bacteria,Proteobacteria,Alphaproteobacteria,UBA828,UBA828,PTKB01,
FDZ044RBk1012dereplicatedgenomesbin42,Bacteria,Proteobacteria,Alphaproteobacteria,MPNO01,UBA2964,,
FDZ044RBk1012dereplicatedgenomesbin62,Bacteria,Acidobacteriota,Vicinamibacteria,Fen-336,Fen-336,,
FDZ044RBk1012dereplicatedgenomesbin63,Bacteria,Omnitrophota,Koll11,UBA10015,Kpj58rc,2-02-FULL-52-10,
FDZ044RBk1012dereplicatedgenomesbin64,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA2999,Gp6-AA40,
FDZ044RBk1012dereplicatedgenomesbin90,Bacteria,Acidobacteriota,Acidobacteriae,2-12-FULL-54-10,2-12-FULL-54-10,,
FDZ044RBk1012dereplicatedgenomesbin93,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,,
FDZ044RBk24dereplicatedgenomesbin36,Bacteria,Proteobacteria,Gammaproteobacteria,MnTg04,MnTg04,MnTg04,
FDZ044RBk24dereplicatedgenomesbin4,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,,
FDZ044RBk24dereplicatedgenomesbin58,Bacteria,Proteobacteria,Alphaproteobacteria,JAAXGF01,JAAXGF01,,
FDZ044RBk24dereplicatedgenomesbin63,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,,
FDZ044RBk46dereplicatedgenomesbin18,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
FDZ044RBk46dereplicatedgenomesbin21,Bacteria,Omnitrophota,Koll11,UBA9649,UBA9649,,
FDZ044RBk46dereplicatedgenomesbin25,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
FDZ044RBk46dereplicatedgenomesbin68,Bacteria,Acidobacteriota,Acidobacteriae,Acidoferrales,2-02-FULL-67-57,,
FDZ044RBk68dereplicatedgenomesbin16,Bacteria,OLB16,OLB16,,,,
FDZ044RBk68dereplicatedgenomesbin40,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,SZUA-38,,
FDZ044RBk68dereplicatedgenomesbin50,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,,
FDZ044RBk68dereplicatedgenomesbin51,Bacteria,Desulfobacterota_B,Binatia,UBA9968,,,
FDZ044RBk68dereplicatedgenomesbin79,Bacteria,Proteobacteria,Alphaproteobacteria,SMXQ01,SMXQ01,,
FDZ044RBk68dereplicatedgenomesbin91,Bacteria,Bacteroidota,Bacteroidia,,,,
FDZ044W04dereplicatedgenomesbin60,Bacteria,Planctomycetota,PLA2,PLA2,PLA2,,
FDZ046Be1214dereplicatedgenomesbin27,Bacteria,Poribacteria,WGA-4E,WGA-4E,PCPOR2b,,
FDZ046Be1820dereplicatedgenomesbin32,Bacteria,KSB1,UBA2214,CR04bin15,CR04bin15,,
FDZ046Be1820dereplicatedgenomesbin33,Bacteria,Poribacteria,WGA-4E,WGA-4E,PCPOR2b,,
FDZ046Be1820dereplicatedgenomesbin37,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,SZUA-226,SZUA-226 sp004357365
FDZ046Be24dereplicatedgenomesbin11,Bacteria,Omnitrophota,Koll11,1-14-0-20-64-10,1-14-0-20-64-10,,
FDZ046Be24dereplicatedgenomesbin34,Bacteria,Omnitrophota,Koll11,UBA10015,Kpj58rc,,
FDZ046Be24dereplicatedgenomesbin74,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,SPGG2,SPGG2,SPGG2 sp001643475
FDZ046Be24dereplicatedgenomesbin84,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,SMXR01,SMXR01,
FDZ046Be24dereplicatedgenomesbin95,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA2999,Gp6-AA40,
FDZ046Be2023dereplicatedgenomesbin17,Bacteria,KSB1,UBA2214,CR04bin15,CR04bin15,N075bin58,
FDZ046Be68dereplicatedgenomesbin105,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,SMXR01,,
FDZ046Be68dereplicatedgenomesbin106,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,PRS1,
FDZ046Be68dereplicatedgenomesbin122,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA2166,,
FDZ046Be68dereplicatedgenomesbin24,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,BMS3ABIN03,
FDZ046Be68dereplicatedgenomesbin33,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,SLHB01,,
FDZ046Be68dereplicatedgenomesbin38,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,SMXR01,,
FDZ046Be68dereplicatedgenomesbin45,Bacteria,Myxococcota_A,UBA9160,SZUA-336,SZUA-336,,
FDZ046Be68dereplicatedgenomesbin67,Bacteria,Acidobacteriota,Vicinamibacteria,Bin61,SMYC01,,
FDZ046Be68dereplicatedgenomesbin88,Bacteria,Chlamydiota,Chlamydiia,JAAKFQ01,,,
FDZ046Be68dereplicatedgenomesbin96,Bacteria,Proteobacteria,Gammaproteobacteria,Woeseiales,Woeseiaceae,JAACFB01,
FDZ046G02dereplicatedgenomesbin76,Bacteria,Proteobacteria,Alphaproteobacteria,JAAXGF01,JAAXGF01,,
FDZ046G46dereplicatedgenomesbin34,Bacteria,Proteobacteria,Alphaproteobacteria,UBA6615,,,
FDZ046G46dereplicatedgenomesbin60,Bacteria,Proteobacteria,Alphaproteobacteria,SHVP01,SHVP01,,
FDZ046G46dereplicatedgenomesbin66,Bacteria,Desulfobacterota_B,Binatia,UBA9968,,,
FDZ046RG02dereplicatedgenomesbin45,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas macleodii
FDZ046RG46dereplicatedgenomesbin28,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,PRS1,
FDZ046RG810dereplicatedgenomesbin13,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA11579,,
FDZ046Y24dereplicatedgenomesbin41,Bacteria,Zixibacteria,MSB-5A5,GN15,12-Feb,,
FDZ046Y24dereplicatedgenomesbin88,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,SMXR01,,
FDZ046Y46dereplicatedgenomesbin30,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,SPGG2,SZUA-472,
FDZ046Y46dereplicatedgenomesbin47,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_A,Pseudomonas_A sp003205815
FDZ046Y46dereplicatedgenomesbin74,Bacteria,Acidobacteriota,UBA6911,RPQK01,,,
FDZ046Y810dereplicatedgenomesbin12,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Emcibacteraceae,Paremcibacter,
FDZ046YBk24dereplicatedgenomesbin26,Bacteria,Omnitrophota,Koll11,UBA10015,Kpj58rc,,
FDZ046YBk46dereplicatedgenomesbin5,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,Bin80,,
FDZ046YBk68dereplicatedgenomesbin2,Bacteria,Poribacteria,WGA-4E,WGA-4E,PCPOR2b,,
FDZ046YBk68dereplicatedgenomesbin32,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,PALSA-1355,LB-PLM-3,
FDZ050Be02dereplicatedgenomesbin21,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Casp-alpha2,Casp-alpha2,
FDZ050Be02dereplicatedgenomesbin83,Bacteria,Actinobacteriota,Acidimicrobiia,UBA5794,UBA5794,B3-G11,B3-G11 sp004356175
FDZ050Be68dereplicatedgenomesbin15,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Alcanivoracaceae,Alcanivorax,Alcanivorax sp900107995
FDZ050Bk02dereplicatedgenomesbin45,Bacteria,Zixibacteria,MSB-5A5,GN15,,,
FDZ050Bk24dereplicatedgenomesbin19,Bacteria,Proteobacteria,Alphaproteobacteria,JAAXGF01,JAAXGF01,,
FDZ050RBk02dereplicatedgenomesbin107,Bacteria,Proteobacteria,Alphaproteobacteria,JAAXGF01,JAAXGF01,,
FDZ050RBk02dereplicatedgenomesbin36,Bacteria,Nitrospirota,JACRHL01,,,,
FDZ050RBk02dereplicatedgenomesbin57,Bacteria,Proteobacteria,Alphaproteobacteria,UBA6615,UBA6615,JABDJY01,
FDZ050RBk02dereplicatedgenomesbin6,Bacteria,Actinobacteriota,Acidimicrobiia,UBA5794,UBA5794,,
FDZ050RBk1012dereplicatedgenomesbin1,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,GCA-2746185,,
FDZ050RBk1012dereplicatedgenomesbin111,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Casp-alpha2,Casp-alpha2,
FDZ050RBk1012dereplicatedgenomesbin31,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA1565,,
FDZ050RBk1012dereplicatedgenomesbin37,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,DUCM01,
FDZ050RBk1012dereplicatedgenomesbin53,Bacteria,Proteobacteria,Alphaproteobacteria,UBA8366,GCA-2717185,MarineAlpha4-Bin1,
FDZ050RBk1012dereplicatedgenomesbin54,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,GCA-002726655,
FDZ050RBk1012dereplicatedgenomesbin67,Bacteria,Proteobacteria,Alphaproteobacteria,Bin65,,,
FDZ050RBk1012dereplicatedgenomesbin70,Bacteria,Sumerlaeota,Sumerlaeia,MVZB01,MVZB01,,
FDZ050RBk1012dereplicatedgenomesbin73,Bacteria,GCA-001730085,,,,,
FDZ050RBk1012dereplicatedgenomesbin83,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,GCA-2746185,,
FDZ050RBk1012dereplicatedgenomesbin93,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,,,
FDZ050RBk1214dereplicatedgenomesbin141,Bacteria,Planctomycetota,SZUA-567,,,,
FDZ050RBk1214dereplicatedgenomesbin38,Bacteria,Elusimicrobiota,Elusimicrobia,02-12-FULL-59-9,O2-12-FULL-59-9,,
FDZ050RBk1214dereplicatedgenomesbin61,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,,,
FDZ050RBk1214dereplicatedgenomesbin62,Bacteria,Spirochaetota,Leptospirae,,,,
FDZ050RBk1214dereplicatedgenomesbin66,Bacteria,SAR324,SAR324,SAR324,,,
FDZ050RBk1214dereplicatedgenomesbin67,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,UBA2165,,
FDZ050RBk1214dereplicatedgenomesbin9,Bacteria,Marinisomatota,SORT01,SORT01,SORT01,SORT01,
FDZ050RBk1416dereplicatedgenomesbin113,Bacteria,4484-113,4484-113,4484-113,JAFGCY01,,
FDZ050RBk1416dereplicatedgenomesbin127,Bacteria,Acidobacteriota,UBA890,UBA890,WLXD01,WLXD01,
FDZ050RBk1416dereplicatedgenomesbin142,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,UBA9145,
FDZ050RBk1416dereplicatedgenomesbin143,Bacteria,Patescibacteria,Paceibacteria,UBA9983,JACROR01,,
FDZ050RBk1416dereplicatedgenomesbin37,Bacteria,Myxococcota,Bradymonadia,UBA7976,UBA1532,,
FDZ050RBk1618dereplicatedgenomesbin117,Bacteria,Planctomycetota,B129-G9,,,,
FDZ050RBk1618dereplicatedgenomesbin134,Bacteria,AABM5-125-24,AABM5-125-24,AABM5-125-24,AABM5-125-24,,
FDZ050RBk1618dereplicatedgenomesbin18,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA9628,,
FDZ050RBk1618dereplicatedgenomesbin2,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,GCA-2746185,,
FDZ050RBk1618dereplicatedgenomesbin32,Bacteria,SM23-31,SM23-31,SM23-31,SM23-31,,
FDZ050RBk1618dereplicatedgenomesbin45,Bacteria,Latescibacterota,MWCZ01,MWCZ01,,,
FDZ050RBk24dereplicatedgenomesbin32,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
FDZ050RBk24dereplicatedgenomesbin68,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,Rubricoccaceae,,
FDZ050RBk2022dereplicatedgenomesbin27,Bacteria,CG03,CG03,CG03,CG03,,
FDZ050RBk2022dereplicatedgenomesbin52,Bacteria,Proteobacteria,Gammaproteobacteria,GCA-001735895,GCA-001735895,GCA-001735895,
FDZ050RBk2224dereplicatedgenomesbin8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,2-02-FULL-58-16,GCA-2686765,
FDZ050RBk2426dereplicatedgenomesbin56,Bacteria,Omnitrophota,Koll11,4484-171,4484-171,JAHKAJ01,
FDZ050RBk2628dereplicatedgenomesbin21,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Thermoguttaceae,JAFGRD01,
